DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-05,70.31,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-06,3.90,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-07,0.66,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-08,0.57,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-09,7.84,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-10,44.06,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-11,152.31,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1996-12,226.98,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-01,266.87,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-02,156.17,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-03,44.71,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-04,24.52,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-05,39.82,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-06,13.18,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-07,3.15,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-08,0.88,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-09,0.17,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-10,20.29,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-11,118.10,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1997-12,215.90,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-01,228.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-02,140.46,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-03,89.78,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-04,156.13,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-05,42.83,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-06,6.51,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-07,1.00,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-08,0.06,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-09,5.44,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-10,43.53,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-11,140.39,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1998-12,285.09,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-01,269.25,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-02,220.94,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-03,153.71,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-04,94.37,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-05,37.91,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-06,5.83,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1999-07,0.05,
